institution,course_name,url,reason
London South Bank,BA (hons) politics & international relations,https://www.lsbu.ac.uk/study/course-finder/ba-hons-politics-international-relations#overview,blocked (HTTP 403)
Newcastle,BA (hons) politics & sociology,http://www.ncl.ac.uk/undergraduate/degrees/ll32/,year headings found but no usable module list detected
Newcastle,BA (hons) politics,http://www.ncl.ac.uk/undergraduate/degrees/l200/,year headings found but no usable module list detected
Newcastle,BA (hons) politics & international relations,http://www.ncl.ac.uk/undergraduate/degrees/l290/,year headings found but no usable module list detected
Newcastle,BA (hons) international relations,http://www.ncl.ac.uk/undergraduate/degrees/l250/,year headings found but no usable module list detected
Surrey,LLB (hons) law with international relations,https://www.surrey.ac.uk/undergraduate/law-international-relations/2025,year headings found but no usable module list detected
Surrey,"LLB (hons) law (philosophy, politics & law pathway)",https://www.surrey.ac.uk/undergraduate/law-philosophy-politics-and-law-pathway/2025,no year/stage headings found
Surrey,BSc (hons) politics & sociology,https://www.surrey.ac.uk/undergraduate/politics-and-sociology/2025,year headings found but no usable module list detected
Surrey,BSc (hons) politics,https://www.surrey.ac.uk/undergraduate/politics/2025,year headings found but no usable module list detected
Surrey,BA (hons) international relations,https://www.surrey.ac.uk/undergraduate/international-relations/2025,year headings found but no usable module list detected
Surrey,BA (hons) international relations,https://www.surrey.ac.uk/undergraduate/international-relations/2025,year headings found but no usable module list detected
West London,BSc (hons) artificial intelligence,https://www.uwl.ac.uk/course/undergraduate/artificial-intelligence-foundation-year,blocked (HTTP 403)
West London,BA (hons) politics & international relations,https://www.uwl.ac.uk/course/undergraduate/politics-and-international-relations-foundation-year,blocked (HTTP 403)
