institution,course_name,url,badges,also_offered_with_languages,partner_subjects,raw_variant_count
Manchester,BSc (hons) international disaster management & humanitarian response,https://www.manchester.ac.uk/study/undergraduate/courses/2025/10113/bsc-international-disaster-management-and-humanitarian-response/,"Sandwich year, Year abroad","Chinese, French, Spanish",international disaster management & humanitarian response,4
Manchester,LLB (hons) law with politics,https://www.manchester.ac.uk/study/undergraduate/courses/2025/18869/llb-law-with-politics/,,,law,1
Manchester,BA (hons) politics & criminology,https://www.manchester.ac.uk/study/undergraduate/courses/2025/08832/bass-politics-and-criminology/,,,criminology,1
Manchester,BA (hons) politics,https://www.manchester.ac.uk/study/undergraduate/courses/2025/11167/ba-politics-and-russian/,"Sandwich year, Year abroad","Arabic, Chinese, French, German, Italian, Japanese, Portuguese, Russian, Spanish",,9
York,BA (hons) global development,https://www.york.ac.uk/study/undergraduate/courses/ba-global-development/,"Sandwich year, Year abroad",,,1
York,BA (hons) international relations,https://www.york.ac.uk/study/undergraduate/courses/ba-international-relations/,"Sandwich year, Year abroad",,,1
York,BA (hons) politics with international relations,https://www.york.ac.uk/study/undergraduate/courses/ba-politics-international-relations/,"Sandwich year, Year abroad",,,1
York,BA (hons) politics,https://www.york.ac.uk/study/undergraduate/courses/ba-politics/,"Sandwich year, Year abroad",,,1
York,BA (hons) social & political sciences,https://www.york.ac.uk/study/undergraduate/courses/ba-social-political-sciences/,"Sandwich year, Year abroad",,"social, political sciences",1
Liverpool,BA (hons) international relations,https://www.liverpool.ac.uk/courses/2025/international-relations-ba-hons,Year abroad,,,1
Liverpool,BA (hons) politics,https://www.liverpool.ac.uk/courses/2025/politics-ba-hons,Year abroad,,,1
Sussex,BA (hons) international relations,https://www.sussex.ac.uk/study/undergraduate/courses/international-relations-ba,"Foundation year, Sandwich year, Year abroad",,,1
Sussex,BA (hons) international relations with a language,https://www.sussex.ac.uk/study/undergraduate/courses/international-relations-with-a-language-ba,"Foundation year, Sandwich year, Year abroad",,,1
Sussex,BA (hons) international relations & sociology,https://www.sussex.ac.uk/study/undergraduate/courses/international-relations-and-sociology-ba,"Foundation year, Sandwich year, Year abroad",,sociology,1
Sussex,BA (hons) politics & international relations,https://www.sussex.ac.uk/study/undergraduate/courses/politics-and-international-relations-ba,"Foundation year, Sandwich year, Year abroad",,,1
Sussex,BA (hons) international development,https://www.sussex.ac.uk/study/undergraduate/courses/international-development-ba,"Foundation year, Sandwich year, Year abroad",,,1
Sussex,BA (hons) international development with a language,https://www.sussex.ac.uk/study/undergraduate/courses/international-development-with-a-language-ba,"Foundation year, Sandwich year, Year abroad",,,1
Sussex,BA (hons) politics,https://www.sussex.ac.uk/study/undergraduate/courses/politics-ba,"Foundation year, Sandwich year, Year abroad",,,1
Sussex,BA (hons) politics & sociology,https://www.sussex.ac.uk/study/undergraduate/courses/politics-and-sociology-ba,"Foundation year, Sandwich year, Year abroad",,sociology,1
Sussex,BA (hons) sociology & international development,https://www.sussex.ac.uk/study/undergraduate/courses/sociology-and-international-development-ba,"Foundation year, Sandwich year, Year abroad",,sociology,1
Sussex,LLB (hons) law with international relations,https://www.sussex.ac.uk/study/undergraduate/courses/law-with-international-relations-llb,"Foundation year, Sandwich year, Year abroad",,law,1
Sussex,LLB (hons) law with politics,https://www.sussex.ac.uk/study/undergraduate/courses/law-with-politics-llb,"Foundation year, Sandwich year, Year abroad",,law,1
Aberystwyth,BA (hons) international relations,http://www.aber.ac.uk/courses/?EZ4PBX,"Foundation year, Placement year, Sandwich year, Year abroad","French, German, Spanish, Welsh",,8
Aberystwyth,BA (hons) politics & international relations,http://www.aber.ac.uk/courses/?LE457T,,,,1
Aberystwyth,BA (hons) hanes / cysylltiadau rhyngwladol,http://www.aber.ac.uk/courses/?55RL7J,,,,1
Aberystwyth,BA (hons) politics,http://www.aber.ac.uk/courses/?WQ9L7C,,,,1
Aberystwyth,"BA (hons) strategy, intelligence & security",http://www.aber.ac.uk/courses/?EWR9GP,,,"strategy, intelligence, security",1
Aberystwyth,BSc (hons) sociology & politics,http://www.aber.ac.uk/courses/?FCNYJD,,,sociology,1
Aberystwyth,LLB (hons) law & international relations,http://www.aber.ac.uk/courses/?7TLT67,,,law,1
Swansea,BA (hons) international relations,https://www.swansea.ac.uk/undergraduate/courses/social-sciences/politics-philosophy-international-relations/ba-international-relations/,"Foundation year, Sandwich year, Year abroad",,,4
Swansea,BA (hons) international relations with modern languages,https://www.swansea.ac.uk/undergraduate/courses/social-sciences/politics-philosophy-international-relations/international-relations-with-modern-languages-ba/,"Sandwich year, Year abroad",,modern languages,3
Swansea,BA (hons) politics & international relations,https://www.swansea.ac.uk/undergraduate/courses/artsandhumanities/politics-and-international-relations/ba-politics-and-international-relations/,"Sandwich year, Year abroad",,,3
Swansea,LLB (hons) law with international relations,https://www.swansea.ac.uk/undergraduate/courses/law/llb-law-international-relations/,"Foundation year, Year abroad",,law,3
Swansea,LLB (hons) law in practice with international relations,https://www.swansea.ac.uk/undergraduate/courses/law/llb-law-practice-international-relations/,"Foundation year, Sandwich year",,law in practice,2
Swansea,BA (hons) politics,https://www.swansea.ac.uk/undergraduate/courses/social-sciences/politics-philosophy-international-relations/ba-politics/,"Foundation year, Sandwich year, Year abroad",,,4
